trial,log_ksat_wyc,log_kyx,log_ksat_uyc,ksat_wyc,kyx_awyc,ksat_uyc,rmse_psf,rmse_kpa,n_pts,solve_s
81,-5.1773,5.699,-4.537,6.647404980642766e-06,499999.99999999994,2.9037012723077003e-05,638.26,30.5601,327,286.9
82,-5.1681,5.699,-4.5346,6.790662831850667e-06,499999.99999999994,2.9202499814787634e-05,638.24,30.559,327,285.5
83,-5.1657,5.329,-4.5382,6.82790374112131e-06,213295.21446560812,2.896061342917077e-05,638.27,30.5606,327,285.9
84,-5.1713,5.699,-4.5346,6.7399878594173585e-06,499999.99999999994,2.9201291255862988e-05,638.24,30.559,327,285.9
85,-5.1677,5.699,-4.5474,6.797475430461097e-06,499999.99999999994,2.8355186806434693e-05,638.24,30.5592,327,285.4
86,-5.1704,5.699,-4.5331,6.754759495324604e-06,499999.99999999994,2.9300678340441304e-05,638.24,30.559,327,285.2
87,-5.1709,5.699,-4.5238,6.747216346260273e-06,499999.99999999994,2.9938777580179563e-05,638.25,30.5594,327,285.8
88,-5.1695,5.699,-4.5393,6.769058512777326e-06,499999.99999999994,2.8889022585065756e-05,638.24,30.559,327,291.6
89,-5.1673,5.6487,-4.5367,6.80311433518761e-06,445342.91387151234,2.905928868441334e-05,638.24,30.5592,327,286.0
90,-5.1703,5.699,-4.5351,6.755714350486272e-06,499999.99999999994,2.9165725690390385e-05,638.24,30.559,327,285.4
91,-5.1682,5.699,-4.5395,6.788876664529968e-06,499999.99999999994,2.88717274011058e-05,638.24,30.559,327,289.9
92,-5.1706,5.699,-4.5414,6.751798549023347e-06,499999.99999999994,2.874962864788634e-05,638.24,30.559,327,290.4
93,-5.1721,5.699,-4.5376,6.7289623150091345e-06,499999.99999999994,2.8996960782144515e-05,638.24,30.5591,327,287.2
94,-5.1692,5.699,-4.5391,6.773848248546814e-06,499999.99999999994,2.8902984948937144e-05,638.24,30.559,327,286.0
95,-5.1687,5.699,-4.5343,6.780637550782483e-06,499999.99999999994,2.9223573115936695e-05,638.24,30.559,327,284.0
96,-5.1679,5.699,-4.5399,6.79336417022053e-06,499999.99999999994,2.8844728361053366e-05,638.24,30.559,327,287.6
97,-5.1697,5.699,-4.5363,6.7651071981538024e-06,499999.99999999994,2.9085143007035044e-05,638.24,30.559,327,287.2
98,-5.1702,5.699,-4.5422,6.758055368588283e-06,499999.99999999994,2.8696648873386724e-05,638.24,30.559,327,286.6
99,-5.1691,5.699,-4.5362,6.774984940799636e-06,499999.99999999994,2.909094186327833e-05,638.24,30.559,327,285.7
100,-5.1697,5.699,-4.5355,6.765585606578156e-06,499999.99999999994,2.9140602454378054e-05,638.24,30.559,327,288.3
101,-5.1693,5.699,-4.5382,6.771781642508239e-06,499999.99999999994,2.896220705771151e-05,638.24,30.559,327,285.5
102,-5.1693,5.699,-4.5346,6.772188535549042e-06,499999.99999999994,2.9203903962231632e-05,638.24,30.559,327,301.9
103,-5.1694,5.699,-4.5381,6.769840882819924e-06,499999.99999999994,2.896742319970948e-05,638.24,30.559,327,305.8
104,-5.1699,5.699,-4.5388,6.762839162239521e-06,499999.99999999994,2.8919050663780614e-05,638.24,30.559,327,302.0
105,-5.1697,5.699,-4.5382,6.765873564021104e-06,499999.99999999994,2.8961928010069234e-05,638.24,30.559,327,309.3
106,-5.1692,5.699,-4.54,6.773225068690378e-06,499999.99999999994,2.8843068087089716e-05,638.24,30.559,327,306.4
107,-5.1696,5.699,-4.5372,6.767135753195269e-06,499999.99999999994,2.9024434468758786e-05,638.24,30.559,327,300.0
