# Monte Carlo Simulation - GeoStudio SLOPE/W + SEEP/W
# Generated   : 2026-03-23 02:41:56
# Input file  : E:\Github\MCP_Geostudio\Metro-Center.gsz
# Iterations  : 500
# Random seed : 42
# Solver      : C:\Program Files\Seequent\GeoStudio 2024.2\Bin\GeoCmd.exe
# Execution   : Sequential (chained SEEP/W -> SLOPE/W per iteration)
#
# --- Soil Parameter Distributions ---
# CohesionPrime = Lognormal | PhiPrime = Normal (min 1 deg)
# Reference    : Phoon & Kulhawy (1999), Duncan (2000)
#
# SC (Silty Clay): c_mean=198.4 psf  COV=35% | phi_mean=20.0 deg  COV=10%
# AWYC (Weathered Yazoo Clay in Active Zone): c_mean=79.3 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# WYC (Weathered Yazoo Clay): c_mean=248.5 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# UYC (Unweathered Yazoo Clay): c_mean=384.2 psf  COV=30% | phi_mean=20.0 deg  COV=8%
#
# --- Rainfall Distribution ---
# Lognormal | COV = 35% | Zero points fixed
#   Day 4: baseline = 0.01 in/day
#   Day 5: baseline = 0.61 in/day
#   Day 6: baseline = 0.01 in/day
#   Day 8: baseline = 1.0 in/day
#   Day 9: baseline = 0.08 in/day
#
# --- Column Units ---
# cohesion = psf | phi = degrees | rainfall = in/day | FS = dimensionless
#
iter,SC_cohesion_psf,SC_phi_deg,AWYC_cohesion_psf,AWYC_phi_deg,WYC_cohesion_psf,WYC_phi_deg,UYC_cohesion_psf,UYC_phi_deg,rainfall_day4_in_per_day,rainfall_day5_in_per_day,rainfall_day6_in_per_day,rainfall_day8_in_per_day,rainfall_day9_in_per_day,FS_Slope_Stability,FS_FS
42,110.6327,19.2744,29.5779,21.3793,144.7495,18.6129,443.7668,20.2311,0.007047,0.847483,0.009016,0.790553,0.056292,1.403026,0.799119
43,290.896,17.7789,51.4821,16.8976,222.0942,19.8789,417.897,20.4588,0.006894,0.512136,0.01009,0.860243,0.050641,1.261314,0.808936
44,106.9453,19.4908,95.3408,20.6482,168.9602,20.1633,413.2488,20.1767,0.010184,0.364524,0.009011,0.876349,0.130177,1.552022,1.101528
45,221.1232,19.7384,88.6764,22.5488,178.1233,17.6446,468.6638,20.0578,0.016172,0.404693,0.007104,0.952615,0.063887,1.511396,1.185846
46,146.0287,18.9194,48.971,20.0063,198.1155,21.1075,486.9539,19.1865,0.015717,0.400678,0.005658,0.683158,0.062372,1.419867,0.885284
47,157.352,19.4522,111.4088,19.6794,331.4994,19.7678,428.1942,20.1885,0.011489,0.425616,0.013588,0.638242,0.079671,1.619315,1.159069
48,346.9944,19.0436,70.5925,20.1926,204.4937,19.0155,616.3736,21.9214,0.011768,0.576485,0.009825,1.619716,0.076975,1.549137,1.020994
49,195.2379,21.449,44.4128,17.8405,290.632,18.5084,336.5506,19.6135,0.007643,0.47075,0.011809,1.213922,0.077558,1.291917,0.790001
50,81.6111,17.9771,43.7833,15.9247,196.5967,21.5091,295.8046,19.9399,0.008667,0.536391,0.008256,1.526299,0.093927,1.125309,0.729555
51,272.8453,18.3751,115.9447,20.4404,288.3152,17.3326,261.3593,21.344,0.010159,0.815714,0.017015,1.203336,0.054254,1.689973,1.236947
52,264.1835,21.0275,57.0282,19.407,254.9946,18.7067,428.6858,19.7221,0.007877,0.392796,0.005018,1.072002,0.049505,1.45102,0.920387
53,174.6801,19.5009,166.1774,19.2745,189.0144,22.2006,474.1095,20.4098,0.011424,0.399056,0.009534,0.917276,0.030022,1.740646,1.359161
54,137.5667,22.8671,53.6707,14.8723,196.6759,22.769,285.3231,21.6208,0.007955,0.434512,0.011974,1.195709,0.074464,1.140639,0.749487
55,171.3925,22.32,62.4863,16.7542,141.3337,16.9042,319.0878,17.8402,0.013297,0.366284,0.013639,0.807117,0.062904,1.27803,0.85711
56,129.3849,17.5108,91.3751,20.5705,272.1007,21.4311,336.2713,20.9445,0.010768,0.62776,0.007999,1.06757,0.124264,1.575451,1.089372
57,192.5872,19.0712,75.0751,20.5646,117.2635,22.8405,321.7162,19.0457,0.006612,0.790315,0.011873,1.440881,0.102293,1.569811,1.055434
58,126.3442,20.5795,99.4699,20.2403,159.3108,21.4419,452.141,21.128,0.012159,0.83806,0.020232,0.766708,0.07673,1.598252,1.118874
59,143.1514,15.9307,92.8933,20.697,204.7777,19.8375,608.0021,21.6973,0.012005,0.727397,0.007037,1.309869,0.043115,1.588108,1.101588
60,231.6472,24.3287,106.3944,16.5371,183.5556,20.9636,363.2811,21.908,0.004877,1.180795,0.017914,0.576905,0.068281,1.478991,1.049506
61,272.4831,17.4404,94.5124,16.265,348.6775,15.4522,298.7152,19.0293,0.004614,0.769369,0.00557,0.605217,0.06232,1.409193,0.985422
62,226.6918,21.1204,57.9294,18.9776,230.7743,19.1309,698.4328,19.5458,0.008547,0.492729,0.013423,0.820268,0.073277,1.426327,0.913433
63,183.2654,22.4984,158.3671,18.8783,210.4181,21.4214,374.3674,21.3014,0.016268,0.696525,0.013664,0.427419,0.107894,1.742511,1.334312
64,252.7858,20.6485,88.9986,18.6153,333.66,15.5236,512.7303,19.5427,0.008867,0.401218,0.005424,0.805995,0.096001,1.538561,1.045891
65,213.0592,16.2248,72.3862,23.0564,129.2867,20.3663,309.2932,22.5398,0.008117,0.468363,0.016861,1.477635,0.067421,1.538174,1.135061
66,506.1154,20.1027,159.9202,16.2932,299.7158,21.4888,210.0998,19.6157,0.01196,1.352582,0.008397,1.297176,0.061795,1.698778,1.286002
67,248.5696,22.2356,73.6509,16.1164,308.07,19.8882,343.4647,19.916,0.008742,0.638371,0.010228,0.699877,0.077219,1.308028,0.884916
68,204.001,20.2722,118.6521,18.9276,138.8587,18.9789,428.7073,21.9327,0.017862,0.363285,0.007774,0.89416,0.102358,1.480123,1.165242
69,168.6787,18.3227,77.2796,17.4937,245.2368,24.5604,418.691,21.2326,0.007205,0.423071,0.012345,0.681018,0.055002,1.381661,0.951322
70,119.1397,21.8767,58.9565,19.4893,160.3123,24.0617,276.9709,20.28,0.00845,1.205911,0.010454,0.668616,0.065865,1.422319,0.935636
71,321.9264,21.0551,71.965,13.9009,337.6284,24.5939,762.6849,20.7997,0.007662,0.789037,0.004759,0.800885,0.093831,1.159366,0.79843
72,140.1756,20.4253,52.2025,21.0121,365.8485,19.4561,329.1198,20.2324,0.008652,0.459294,0.008189,0.98418,0.100853,1.493862,0.937518
73,265.4921,16.0736,55.6678,21.1083,231.8012,16.9508,368.1823,19.6334,0.007461,0.424242,0.010519,0.806036,0.031176,1.522197,0.963402
74,150.24,20.0647,106.7864,15.1799,221.5309,22.0023,425.8238,18.5655,0.007198,0.584792,0.01518,0.81433,0.105574,1.348126,0.997973
75,187.2591,21.8147,43.7277,22.5191,210.9471,17.8215,442.1874,20.5685,0.007264,0.681146,0.006731,1.299012,0.07661,1.536818,0.927799
76,156.2095,20.963,77.0173,14.4439,265.5615,18.4692,316.2526,20.5015,0.012468,0.569806,0.005845,0.783647,0.086902,1.215906,0.840629
77,141.5601,23.5876,53.4203,18.4712,244.132,19.5485,463.9146,19.6866,0.012055,0.357797,0.009798,0.918761,0.056999,1.368231,0.868412
78,151.1022,21.8583,74.5936,17.3674,453.718,16.8365,325.3998,22.3144,0.007252,0.606185,0.00777,1.409307,0.085206,1.372928,0.934488
79,172.325,18.844,81.3828,16.5458,406.3183,20.3488,488.8194,19.5902,0.021124,0.507701,0.00773,1.232491,0.044089,1.347107,0.935625
80,101.7099,19.059,74.2515,21.3716,155.8797,18.7692,346.5988,19.7246,0.007572,0.632998,0.01015,1.014737,0.079021,1.45591,1.041946
81,133.7892,19.2644,120.9292,19.4423,328.9003,20.3158,305.2814,20.8671,0.008476,0.51599,0.009756,0.56186,0.11324,1.62068,1.172551
82,169.0699,18.8431,47.9989,16.2971,315.4063,20.3868,272.1682,21.7344,0.007968,0.842109,0.006232,1.024128,0.039355,1.207137,0.768299
83,79.7796,14.576,68.2455,18.0502,166.5041,17.7398,317.6246,17.7972,0.006768,0.400167,0.004824,0.564484,0.048024,1.306125,0.883187
